,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,中村　晃,101,203,181,15,40,4,0,0,44,16,0,1,1,1,19,1,1,24,6,.221,.243,.297,福岡ソフトバンクホークス,打撃成績
*,長谷川　威展,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,藤井　皓哉,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,ヘルナンデス,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,前田　純,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,前田　悠伍,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,牧原　大成,78,259,240,26,68,7,4,2,89,13,6,4,9,1,8,0,1,41,2,.283,.371,.308,福岡ソフトバンクホークス,打撃成績
*,松本　晴,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,松本　裕樹,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,三森　大貴,25,71,66,6,19,2,0,1,24,13,2,1,1,0,4,0,0,10,1,.288,.364,.329,福岡ソフトバンクホークス,打撃成績
*,モイネロ,25,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.250,.250,.250,福岡ソフトバンクホークス,打撃成績
*,柳田　悠岐,52,225,185,31,53,7,1,4,74,35,3,0,0,2,35,3,3,36,2,.286,.400,.404,福岡ソフトバンクホークス,打撃成績
*,柳町　達,73,237,216,26,58,11,5,4,91,40,1,0,4,2,14,0,1,65,4,.269,.421,.313,福岡ソフトバンクホークス,打撃成績
*,和田　毅,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
福岡ソフトバンクホークス||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,打撃成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,打撃成績
日本シリーズ,：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,打撃成績
ファーム選手権,：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,打撃成績
*,淺間　大基,49,126,109,16,30,4,1,1,39,11,4,2,4,2,9,0,2,35,0,.275,.358,.336,北海道日本ハムファイターズ,打撃成績
*,石井　一成,68,219,197,20,46,11,1,4,71,18,2,3,9,0,12,0,1,42,2,.234,.360,.281,北海道日本ハムファイターズ,打撃成績
*,五十幡　亮汰,94,127,112,38,18,2,1,0,22,3,18,9,8,0,6,0,1,34,1,.161,.196,.210,北海道日本ハムファイターズ,打撃成績
*,伊藤　大海,26,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.250,.250,.250,北海道日本ハムファイターズ,打撃成績
*,上原　健太,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,加藤　豪将,28,63,58,1,10,1,0,0,11,1,0,0,0,0,5,0,0,11,1,.172,.190,.238,北海道日本ハムファイターズ,打撃成績
*,加藤　貴之,27,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,上川畑　大悟,106,305,258,25,64,4,2,1,75,16,5,0,18,1,22,0,6,40,4,.248,.291,.321,北海道日本ハムファイターズ,打撃成績
*,河野　竜生,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,北浦　竜次,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,清宮　幸太郎,89,329,290,43,87,18,1,15,152,51,1,3,0,3,31,3,5,62,5,.300,.524,.374,北海道日本ハムファイターズ,打撃成績
*,黒木　優太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,齋藤　友貴哉,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,スティーブンソン,24,63,62,3,10,2,0,0,12,0,1,2,0,0,1,0,0,24,5,.161,.194,.175,北海道日本ハムファイターズ,打撃成績
*,鈴木　健矢,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,田中　瑛斗,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,田宮　裕涼,109,349,307,28,85,12,2,3,110,30,10,4,11,3,21,1,7,71,10,.277,.358,.334,北海道日本ハムファイターズ,打撃成績
*,中島　卓也,46,41,39,12,8,1,0,0,9,2,4,4,0,0,2,0,0,9,0,.205,.231,.244,北海道日本ハムファイターズ,打撃成績
*,根本　悠楓,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,福田　光輝,5,14,14,1,5,2,0,0,7,2,0,0,0,0,0,0,0,4,0,.357,.500,.357,北海道日本ハムファイターズ,打撃成績
*,福田　俊,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,古川　裕大,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,.000,.000,.333,北海道日本ハムファイターズ,打撃成績
*,細川　凌平,51,64,54,4,12,1,0,0,13,5,3,1,4,2,4,0,0,11,0,.222,.241,.267,北海道日本ハムファイターズ,打撃成績
*,細野　晴希,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,堀　瑞輝,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,松浦　慶斗,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,水野　達稀,105,359,332,30,73,8,8,7,118,37,9,5,12,1,13,1,1,81,2,.220,.355,.251,北海道日本ハムファイターズ,打撃成績
*,宮西　尚生,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,矢澤　宏太,28,19,18,0,2,0,0,0,2,0,0,0,1,0,0,0,0,5,1,.111,.111,.111,北海道日本ハムファイターズ,打撃成績
*,山﨑　福也,24,7,6,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.167,.167,.286,北海道日本ハムファイターズ,打撃成績
北海道日本ハムファイターズ||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,打撃成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,打撃成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,打撃成績
*,上田　希由翔,21,64,58,3,15,3,0,0,18,7,0,0,1,1,2,0,2,9,0,.259,.310,.302,千葉ロッテマリーンズ,打撃成績
*,小川　龍成,119,313,261,33,63,2,0,0,65,21,10,1,20,2,30,1,0,52,2,.241,.249,.317,千葉ロッテマリーンズ,打撃成績
*,小島　和哉,25,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,カイケル,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,角中　勝也,84,217,189,21,53,12,2,3,78,20,0,0,1,2,24,1,1,37,4,.280,.413,.361,千葉ロッテマリーンズ,打撃成績
*,菊地　吏玖,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,坂本　光士郎,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,佐藤　都志也,116,452,410,41,114,20,0,5,149,45,4,1,4,6,29,2,3,51,10,.278,.363,.326,千葉ロッテマリーンズ,打撃成績
*,澤田　圭佑,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,鈴木　昭汰,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,ダイクストラ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,高野　脩汰,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,髙部　瑛斗,76,287,260,37,78,12,3,1,99,23,10,4,5,2,19,2,1,43,3,.300,.381,.348,千葉ロッテマリーンズ,打撃成績
*,田中　晴也,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,寺地　隆成,2,7,7,0,1,1,0,0,2,0,0,0,0,0,0,0,0,4,0,.143,.286,.143,千葉ロッテマリーンズ,打撃成績
*,中村　稔弥,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,中森　俊介,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,藤岡　裕大,90,369,312,31,80,13,1,5,110,29,0,0,7,2,46,1,2,58,4,.256,.353,.354,千葉ロッテマリーンズ,打撃成績
*,藤原　恭大,74,264,231,30,67,8,4,2,89,21,4,1,3,2,25,0,3,39,2,.290,.385,.364,千葉ロッテマリーンズ,打撃成績
*,ポランコ,118,468,416,47,101,21,0,23,191,60,0,0,0,4,46,2,2,86,5,.243,.459,.318,千葉ロッテマリーンズ,打撃成績
*,美馬　学,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
+,メルセデス,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,安田　尚憲,55,174,158,14,36,13,0,0,49,15,0,0,0,3,13,0,0,48,4,.228,.310,.282,千葉ロッテマリーンズ,打撃成績
*,和田　康士朗,88,71,60,12,9,0,0,0,9,8,11,0,3,1,6,0,1,13,0,.150,.150,.235,千葉ロッテマリーンズ,打撃成績
千葉ロッテマリーンズ||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,打撃成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,打撃成績
*,伊藤　茉央,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,内　星龍,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,岡島　豪郎,31,93,80,6,16,1,1,1,22,6,0,1,1,0,11,1,1,15,3,.200,.275,.304,東北楽天ゴールデンイーグルス,打撃成績
*,小郷　裕哉,143,642,565,64,145,24,6,7,202,49,32,5,1,5,68,3,3,120,6,.257,.358,.337,東北楽天ゴールデンイーグルス,打撃成績
*,黒川　史陽,22,60,56,8,13,1,0,1,17,8,0,0,0,0,4,0,0,12,2,.232,.304,.283,東北楽天ゴールデンイーグルス,打撃成績
*,古謝　樹,15,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,小深田　大翔,134,522,450,50,103,9,4,3,129,23,29,10,25,3,42,0,2,84,5,.229,.287,.296,東北楽天ゴールデンイーグルス,打撃成績
*,櫻井　周斗,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,島内　宏明,40,154,131,8,28,3,1,0,33,12,0,0,0,3,16,0,3,16,4,.214,.252,.307,東北楽天ゴールデンイーグルス,打撃成績
*,鈴木　翔天,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,鈴木　大地,123,460,406,41,108,11,5,4,141,41,0,0,15,3,23,0,13,43,4,.266,.347,.324,東北楽天ゴールデンイーグルス,打撃成績
*,清宮　虎多朗,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,宋　家豪,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,ターリー,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,辰己　涼介,143,597,537,68,158,22,12,7,225,58,20,2,2,6,44,2,8,108,10,.294,.419,.353,東北楽天ゴールデンイーグルス,打撃成績
+,田中　和基,68,34,31,8,4,1,0,0,5,1,0,0,3,0,0,0,0,9,0,.129,.161,.129,東北楽天ゴールデンイーグルス,打撃成績
*,田中　貴也,17,12,10,0,1,0,0,0,1,0,0,0,0,0,2,0,0,4,1,.100,.100,.250,東北楽天ゴールデンイーグルス,打撃成績
*,中島　大輔,37,128,123,18,28,8,1,1,41,10,1,0,0,0,2,0,3,21,2,.228,.333,.258,東北楽天ゴールデンイーグルス,打撃成績
*,西垣　雅矢,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,則本　昂大,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,早川　隆久,25,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.333,.333,.333,東北楽天ゴールデンイーグルス,打撃成績
*,藤井　聖,22,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.250,.250,.250,東北楽天ゴールデンイーグルス,打撃成績
*,堀内　謙伍,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,武藤　敦貴,7,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,.200,.200,.200,東北楽天ゴールデンイーグルス,打撃成績
*,茂木　栄五郎,46,75,68,6,18,4,1,1,27,8,0,0,1,1,5,0,0,13,0,.265,.397,.311,東北楽天ゴールデンイーグルス,打撃成績
*,安田　悠馬,34,128,122,12,32,6,0,2,44,9,0,0,0,0,6,0,0,38,1,.262,.361,.297,東北楽天ゴールデンイーグルス,打撃成績
*,山﨑　剛,5,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,弓削　隼人,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,渡邊　佳明,47,154,136,9,34,2,0,0,36,11,0,0,5,2,11,1,0,26,3,.250,.265,.302,東北楽天ゴールデンイーグルス,打撃成績
東北楽天ゴールデンイーグルス||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,東北楽天ゴールデンイーグルス,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,東北楽天ゴールデンイーグルス,打撃成績
*,阿部　翔太,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,大里　昂生,51,176,153,11,36,4,2,2,50,8,5,2,8,0,14,0,1,26,1,.235,.327,.304,オリックス・バファローズ,打撃成績
*,小田　裕也,20,15,14,3,3,1,1,0,6,0,0,0,0,0,1,0,0,5,1,.214,.429,.267,オリックス・バファローズ,打撃成績
*,来田　涼斗,54,189,170,14,36,7,2,2,53,11,4,4,7,0,10,0,2,49,4,.212,.312,.264,オリックス・バファローズ,打撃成績
*,宜保　翔,22,14,12,2,3,0,0,0,3,0,1,0,0,0,2,0,0,3,0,.250,.250,.357,オリックス・バファローズ,打撃成績
+,ゴンザレス,23,65,61,3,8,0,0,1,11,2,0,0,0,0,4,1,0,13,0,.131,.180,.185,オリックス・バファローズ,打撃成績
*,佐藤　一磨,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,杉澤　龍,28,21,19,0,1,0,0,0,1,0,0,0,2,0,0,0,0,6,0,.053,.053,.053,オリックス・バファローズ,打撃成績
*,曽谷　龍平,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,田嶋　大樹,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,茶野　篤政,16,57,52,6,14,2,1,0,18,6,5,0,1,1,3,0,0,13,0,.269,.346,.304,オリックス・バファローズ,打撃成績
*,Ｔ－岡田,4,9,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,.125,.125,.222,オリックス・バファローズ,打撃成績
*,トーマス,10,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,富山　凌雅,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,西川　龍馬,138,553,519,42,134,25,0,7,180,46,11,1,2,4,27,1,1,97,11,.258,.347,.294,オリックス・バファローズ,打撃成績
*,西野　真弘,89,312,280,27,84,6,3,1,99,13,3,1,8,1,22,0,1,26,3,.300,.354,.352,オリックス・バファローズ,打撃成績
*,野口　智哉,12,30,27,4,3,1,0,1,7,1,0,1,0,0,1,0,2,10,0,.111,.259,.200,オリックス・バファローズ,打撃成績
*,福田　周平,69,261,228,25,53,6,1,1,64,13,7,3,6,0,25,1,2,26,1,.232,.281,.314,オリックス・バファローズ,打撃成績
*,本田　仁海,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,宮城　大弥,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,宗　佑磨,97,322,289,15,68,12,2,1,87,22,3,2,11,2,14,1,6,31,8,.235,.301,.283,オリックス・バファローズ,打撃成績
*,村西　良太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,森　友哉,117,457,395,46,111,24,1,9,164,46,6,1,0,5,50,2,7,61,4,.281,.415,.368,オリックス・バファローズ,打撃成績
*,山岡　泰輔,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,山田　修義,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,横山　聖哉,12,40,40,2,6,1,0,0,7,0,0,0,0,0,0,0,0,16,1,.150,.175,.150,オリックス・バファローズ,打撃成績
*,渡部　遼人,65,81,66,6,12,2,0,0,14,7,4,5,8,0,6,0,1,10,0,.182,.212,.260,オリックス・バファローズ,打撃成績
オリックス・バファローズ||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,オリックス・バファローズ,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,オリックス・バファローズ,打撃成績
+,ガルシア,19,69,61,3,8,5,0,1,16,4,0,0,0,0,7,1,1,26,2,.131,.262,.232,埼玉西武ライオンズ,打撃成績
*,甲斐野　央,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
+,金子　侑司,37,141,128,14,27,1,0,2,34,8,3,2,1,0,12,0,0,23,1,.211,.266,.279,埼玉西武ライオンズ,打撃成績
*,栗山　巧,60,154,124,8,28,7,1,1,40,12,0,0,0,2,26,1,2,23,1,.226,.323,.364,埼玉西武ライオンズ,打撃成績
*,源田　壮亮,143,577,522,41,138,15,7,3,176,21,12,4,20,2,32,2,1,75,4,.264,.337,.307,埼玉西武ライオンズ,打撃成績
*,コルデロ,23,73,70,5,9,2,0,1,14,4,0,0,0,1,2,0,0,24,0,.129,.200,.151,埼玉西武ライオンズ,打撃成績
*,佐藤　隼輔,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,菅井　信也,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,杉山　遙希,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,鈴木　将平,33,76,68,2,13,3,0,0,16,4,1,2,3,1,3,0,1,10,1,.191,.235,.233,埼玉西武ライオンズ,打撃成績
*,隅田　知一郎,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,平良　海馬,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,高木　渉,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.125,埼玉西武ライオンズ,打撃成績
*,髙松　渡,35,6,6,7,0,0,0,0,0,0,8,2,0,0,0,0,0,4,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,滝澤　夏央,68,137,118,15,22,1,2,0,27,4,3,1,10,0,8,0,1,30,0,.186,.229,.244,埼玉西武ライオンズ,打撃成績
*,武内　夏暉,21,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,田村　伊知郎,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,西川　愛也,104,335,313,30,71,11,2,6,104,31,8,2,4,2,15,1,1,57,6,.227,.332,.263,埼玉西武ライオンズ,打撃成績
*,羽田　慎之介,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,浜屋　将太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,平沼　翔太,45,144,132,12,35,9,0,0,44,9,0,0,2,0,8,0,2,23,2,.265,.333,.317,埼玉西武ライオンズ,打撃成績
*,蛭間　拓哉,63,232,214,16,47,8,1,1,60,16,3,1,3,1,9,0,5,43,3,.220,.280,.266,埼玉西武ライオンズ,打撃成績
*,牧野　翔矢,10,20,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,.050,.050,.050,埼玉西武ライオンズ,打撃成績
*,松原　聖弥,24,72,65,5,8,2,1,0,12,5,1,0,2,0,5,0,0,23,0,.123,.185,.186,埼玉西武ライオンズ,打撃成績
*,元山　飛優,33,81,77,2,11,2,0,1,16,7,0,0,1,0,2,0,1,21,2,.143,.208,.175,埼玉西武ライオンズ,打撃成績
*,ヤン,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,山村　崇嘉,58,223,201,14,44,5,1,2,57,23,1,2,3,4,13,0,2,38,2,.219,.284,.268,埼玉西武ライオンズ,打撃成績
埼玉西武ライオンズ||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,埼玉西武ライオンズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,埼玉西武ライオンズ,打撃成績
