,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,島本　浩也,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,髙寺　望夢,28,52,45,1,9,1,0,1,13,1,1,1,3,0,3,1,1,15,0,.200,.289,.265,阪神タイガース,打撃成績
*,髙橋　遥人,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,近本　光司,91,418,377,48,109,15,2,3,137,23,23,5,0,2,38,1,1,54,1,.289,.363,.354,阪神タイガース,打撃成績
*,デュプランティエ,14,26,24,0,1,0,0,0,1,0,0,0,2,0,0,0,0,16,0,.042,.042,.042,阪神タイガース,打撃成績
*,富田　蓮,9,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,.000,.000,.000,阪神タイガース,打撃成績
*,中野　拓夢,91,406,335,45,97,10,2,0,111,19,14,3,31,2,35,1,3,50,4,.290,.331,.360,阪神タイガース,打撃成績
*,前川　右京,60,182,169,9,39,9,1,0,50,9,0,1,0,0,8,2,5,27,2,.231,.296,.286,阪神タイガース,打撃成績
*,村上　頌樹,17,39,32,0,3,0,0,0,3,0,0,0,6,0,1,0,0,21,1,.094,.094,.121,阪神タイガース,打撃成績
*,門別　啓人,9,12,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,.000,.000,.000,阪神タイガース,打撃成績
阪神タイガース||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,阪神タイガース,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,阪神タイガース,打撃成績
*,東　克樹,15,33,22,0,4,0,0,0,4,1,0,0,8,0,3,0,0,9,0,.182,.182,.280,横浜DeNAベイスターズ,打撃成績
*,石上　泰輝,41,73,66,6,11,2,0,0,13,6,1,1,1,0,6,1,0,21,2,.167,.197,.236,横浜DeNAベイスターズ,打撃成績
*,井上　絢登,11,30,28,2,5,0,0,2,11,7,0,0,0,1,1,0,0,6,0,.179,.393,.200,横浜DeNAベイスターズ,打撃成績
*,岩田　将貴,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,ウィック,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,梶原　昂希,47,140,133,14,29,7,0,1,39,8,4,1,0,1,4,0,2,43,1,.218,.293,.250,横浜DeNAベイスターズ,打撃成績
*,勝又　温史,7,9,9,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,.333,.333,.333,横浜DeNAベイスターズ,打撃成績
