,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率,球団,成績種別
福岡ソフトバンクホークス||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,投手成績
*,上原　健太,6,0,0,0,2,2,0,0,0,.000,20,6,,1,0,0,0,1,5,0,0,0,0,0.00,北海道日本ハムファイターズ,投手成績
*,加藤　貴之,13,7,3,0,0,0,2,0,1,.700,326,80,,84,7,7,0,2,35,0,0,26,24,2.70,北海道日本ハムファイターズ,投手成績
*,河野　竜生,27,2,0,0,18,20,0,0,0,1.000,85,22,.1,12,1,5,0,4,19,1,0,8,8,3.22,北海道日本ハムファイターズ,投手成績
*,細野　晴希,6,3,1,0,0,0,0,0,0,.750,146,35,.2,18,0,23,0,1,34,1,0,6,6,1.51,北海道日本ハムファイターズ,投手成績
*,堀　瑞輝,2,0,0,0,0,0,0,0,0,.000,9,1,.2,3,0,1,0,0,2,0,0,3,3,16.20,北海道日本ハムファイターズ,投手成績
*,宮西　尚生,23,1,1,0,11,12,0,0,0,.500,68,15,.1,16,0,6,1,0,11,3,0,3,3,1.76,北海道日本ハムファイターズ,投手成績
*,山﨑　福也,13,4,3,0,0,0,2,1,2,.571,327,82,,73,4,12,1,1,39,2,0,21,14,1.54,北海道日本ハムファイターズ,投手成績
北海道日本ハムファイターズ||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,投手成績
*,小島　和哉,14,4,6,0,0,0,0,0,0,.400,344,83,.2,72,10,28,0,2,47,1,0,35,31,3.33,千葉ロッテマリーンズ,投手成績
*,サモンズ,7,4,2,0,0,0,0,0,0,.667,151,35,.2,26,5,16,0,2,30,1,0,15,12,3.03,千葉ロッテマリーンズ,投手成績
*,坂本　光士郎,8,1,2,0,2,3,0,0,0,.333,28,5,.2,6,0,4,0,2,3,0,0,4,4,6.35,千葉ロッテマリーンズ,投手成績
*,鈴木　昭汰,29,1,3,5,14,15,0,0,0,.250,122,28,,32,1,8,0,2,27,2,0,15,15,4.82,千葉ロッテマリーンズ,投手成績
*,高野　脩汰,15,3,0,0,3,6,0,0,0,1.000,118,29,.2,22,2,8,1,0,37,1,0,6,6,1.82,千葉ロッテマリーンズ,投手成績
*,中村　稔弥,6,0,0,0,0,0,0,0,0,.000,38,8,.2,7,1,6,1,0,2,0,0,4,3,3.12,千葉ロッテマリーンズ,投手成績
千葉ロッテマリーンズ||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,投手成績
